title,price,link,image
EVGA RTX3060 12G XC Graphics Card                        ,"799,00",https://www.kijiji.ca/v-composants-de-systeme/ville-de-montreal/evga-rtx3060-12g-xc-graphics-card/1605282523,
RTX 3060 Ti Asus Rog Strix LHR- Brand New                        ,"1150,00",https://www.kijiji.ca/v-composants-de-systeme/ville-de-montreal/rtx-3060-ti-asus-rog-strix-lhr-brand-new/1605178377,
Geforce rtx 3060 36 mh/s                        ,"850,00",https://www.kijiji.ca/v-composants-de-systeme/ville-de-montreal/geforce-rtx-3060-36-mh-s/1605088982,
NEW AMD radeon rx 6600 8gb GDDR6                        ,"800,00",https://www.kijiji.ca/v-composants-de-systeme/ville-de-montreal/new-amd-radeon-rx-6600-8gb-gddr6/1605084225,
RTX 2080ti                        ,"1380,00",https://www.kijiji.ca/v-composants-de-systeme/ville-de-montreal/rtx-2080ti/1605082450,
Msi rtx 3060 ti Ventus 2x Brand New                        ,"1200,00",https://www.kijiji.ca/v-composants-de-systeme/ville-de-montreal/msi-rtx-3060-ti-ventus-2x-brand-new/1604993199,
Échange Asus ROG Strix RTX 3060 OC 12GB pour RX 5700XT                        ,Échange,https://www.kijiji.ca/v-composants-de-systeme/ville-de-montreal/echange-asus-rog-strix-rtx-3060-oc-12gb-pour-rx-5700xt/1604975495,
3060ti & 3070ti                        ,"1200,00",https://www.kijiji.ca/v-composants-de-systeme/ville-de-montreal/3060ti-3070ti/1604855307,
"Graphics cards available. NVIDIA RTX 30 series, AMD cards                        ","100,00",https://www.kijiji.ca/v-composants-de-systeme/ville-de-montreal/graphics-cards-available-nvidia-rtx-30-series-amd-cards/1604841013,
Zotaz 1650 low profile card                        ,"300,00",https://www.kijiji.ca/v-composants-de-systeme/ville-de-montreal/zotaz-1650-low-profile-card/1604617875,
PowerColor AMD Radeon RX 6500XT Sealed                        ,"450,00",https://www.kijiji.ca/v-composants-de-systeme/ville-de-montreal/powercolor-amd-radeon-rx-6500xt-sealed/1604607156,
MSI RTX 3060 ti 8 Gb non-LHR                        ,"1480,00",https://www.kijiji.ca/v-composants-de-systeme/ville-de-montreal/msi-rtx-3060-ti-8-gb-non-lhr/1604256006,
Asus RTX 3060 12GB                        ,"960,00",https://www.kijiji.ca/v-composants-de-systeme/ville-de-montreal/asus-rtx-3060-12gb/1604230423,
Gtx 1080 ti                         ,Surdemande,https://www.kijiji.ca/v-composants-de-systeme/ville-de-montreal/gtx-1080-ti/1603875574,
ASUS Phoenix NVIDIA GeForce RTX 3060 V2                        ,"850,00",https://www.kijiji.ca/v-composants-de-systeme/ville-de-montreal/asus-phoenix-nvidia-geforce-rtx-3060-v2/1603527910,
Buying RTX 3090 3080 3070 3060ti 2080ti AMD Your Price                         ,"3000,00",https://www.kijiji.ca/v-composants-de-systeme/ville-de-montreal/buying-rtx-3090-3080-3070-3060ti-2080ti-amd-your-price/1578896953,
GEFORCE RTX 3060                        ,"1000,00",https://www.kijiji.ca/v-composants-de-systeme/ville-de-montreal/geforce-rtx-3060/1602385068,
GEFORCE RTX 3060 EVGA 12GB  GDDR6                        ,"950,00",https://www.kijiji.ca/v-composants-de-systeme/ville-de-montreal/geforce-rtx-3060-evga-12gb-gddr6/1602088670,
MSI RTX 3070ti gaming trio GPU graphic cards  6600 3060ti 1660                        ,"1600,00",https://www.kijiji.ca/v-composants-de-systeme/ville-de-montreal/msi-rtx-3070ti-gaming-trio-gpu-graphic-cards-6600-3060ti-1660/1593529323,
TRADE***RTX 3060 TI****EVGA FTW3 ULTRA LHR ****RTX 3060 ti***SFF                        ,Surdemande,https://www.kijiji.ca/v-composants-de-systeme/ville-de-montreal/trade-rtx-3060-ti-evga-ftw3-ultra-lhr-rtx-3060-ti-sff/1599952538,
New ListingASUS Dual GeForce RTX 3060 OC 12GB V2 Graphics Card - Brand New - SHIPS FAST, 900.00,https://www.ebay.ca/itm/363725642085?_trkparms=ispr%3D1&hash=item54afbcd965:g:C7IAAOSwa01iB~Wh&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsS5%252FLJbfonbQUYd49AU1AJYxHMCHRd71fjggR1yzCyr%252BZgFvhMGAzcdQKU8mCMxN1HpgjbZwcJCc8H89T9oO1fWNhMOhif%252BWlX4L1rh4SUIzO%252FLtV%252FAHZQVD1q06KIw4mvaJNLTt2DFjPiL43vWixck0S2fw%252FvA8MuowSzAiMEwF2geEpajqiq%252FObjdbNFs%252BItzBNEn7tmVh8mY%252BU%252FQo%252BMo4sgEIvJe2j08bED%252BbF9HR4r50%252FyyjBqqIXMF082CquyhF3X37o2puE20sEgR2kY%252BEP4B3ssmBnZwcqjYhiffmEuNpf8rCMNHgm8bqiQSV7xMpO9ANIfcPyk3aJ4pV2TfFvoAd9C9uyEbtT10Hh7ihMx8RaAxoo4TfFwI%252BzMDFOkwqA%252F3E43RqfGWTTF%252FAteVmeGxWgsdCvTRaBpTiS4X3OJoskWrz0zdIlEzJO3eCjVCubLdglgOX5cHJCTB2wubcw1sREIoBczHZDDMHgc6GQeHLZ5i3p1Wa1471eUFPkZbq4YpGPdcNRvWWoBa9dWAgQbDLGR%252FqjUlAHfeoJrQm4WxkHQrdW%252BL9wEOkoTug6U%252BTCqVIF5UXhFyE4BWrE0HIt%252Bqo%252BNxVDs7VOafbOxtwVys0KNaGTEuQBgw8ctBsX0RmRVqvrVKytUmXBq1ayPL%252FM3GldSo5zuELRMHcG6%252B%252F8g8B2mba3v%252FHM0lHtpYDvPvhvEOEuk8DrlQDF%252FiJ91nI5bSXtPw1X137%252FAXCVkkYOZXVjyFKcwOd8YE2b5FfbzBHyVxkKLlwjzM%252BF%252FWr3aBmJCSTuVY%252BwdXqlllPlSza6L%252FxyOjbRSkGPXatQ%252B0HSD%7Cclp%3A2334524%7Ctkp%3ABFBM1oahkN5f,https://i.ebayimg.com/thumbs/images/g/C7IAAOSwa01iB~Wh/s-l225.jpg
