title,price,link
Apple iPhone 13 128GB Starlight Unlocked 'Excellent' with Apple warranty,C $979.99,https://www.ebay.ca/itm/304291040046?epid=8049288602&_trkparms=ispr%3D1&hash=item46d928cb2e:g:0HgAAOSwK4Jh6DrW&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSzaVbXtmGxqmWnpn8RLN2q%252BAhCrycoob%252B5GO88XLRl1vF4piQWJYpJkgcULak2GdtpcypQ5kM78IbbrkXs5%252Bzstc%252ByYk4kTuLjbscRGAzRnqq5npfY0fw5lTH8v7L4hh3Z0UQ2cJXINhLQIVsZavTJS%252FoXWJgCLQZm6A%252BOpntUzmdMGxBD6MTZQVrfiQI1yQQ7IexnoSJCY3fy05aKlRP6Wkl%252F70zsETtHv6hPRmLW63tXIMDij1l%252BDH%252FlyDqtUF7%252FDXyhQ3mcDhCIwea3MWcmOoMWjz%252F%252BhJi9hxgrZYR56%252FwOmPEVb671sAFcbMha22yrayZQOQdaOVQJiq7%252BDg5DWfDJWLDlDDMhAmxvpB3krtIJxXn5K%252FQwTBILq9chRbGum6pMjNqJUNPmdBXj%252Bx0zDm%252FBZg5lJG%252F4Sme%252Fy%252FyQ%252BfimY%252F3gVzrJ%252FI7oJKOFfZtwHuosmFGq0Z2bxuC0QRAkmI%252BQr7DeruBhtoliVtk5xSq0VLC7UJdxaFQeLMmalvi6LPVR%252BxYTKOSWwx8M9yE6L5ZV1Pr9GScRe7acPDXSsmuluupwIPIjDJelYIZ4IDZZ9FmnTxJe0lSz79SaIEtyN7RxUknGlpIi%252B%252B4Wpypjy5%252B3fCDewUtMVCnnKx6BBv2gNh%252B8JBJqsdop1jlhGCyFq56QjKcxpOc4hCpMPOUySn%252BScjP7d%252BUTsIT90xSsO44oX247patt8lwqUdfhDDmxxGwTw%252Bj3POf7QnX1IrOlZRRZj%252B%252ByQKsAnohFA5yDL5h3VTmIhgrU0tLVRTtM3knu6NZ4%252BMcqsGZXWsUXbf2OWuP2NPykJ8g9ESBKAS2emwA%7Cclp%3A2334524%7Ctkp%3ABFBMjNqSh95f
Apple iPhone 13 256GB Blue Unlocked 'Excellent Condition' Apple warranty,"C $1,029.99",https://www.ebay.ca/itm/304291370828?epid=14049280136&_trkparms=ispr%3D1&hash=item46d92dd74c:g:2foAAOSw0P9h10YS&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSzaVbXtmGxqmWnpn8RLN2qysr5%252FxUL9ZvF%252Bx2Z36%252FnInZbdncdqCLE4S1iKZW7kTXXRMh%252F67CHno57LdzsKNl9TkGTEPPQcivWApXiTOdYjZhL7Qq3c1NYikjLqA4ZZv%252BBFR4RsRArfQmitBG1Iy6t29%252F2iPXwwIUV4WxU9MmPrzMICy9BPPbpueEqik0x3JVQt4cNhVNM4NPgzHKfjsEfyW0WllyFIfHST8ftcrnTlXrleFTrhCuSg%252BCbck%252BL%252FOBgLpt%252BPG4U5KueBMm%252BfG8wRMH20GAYRplTc3fBDzS324jDxpHh3BLSUeCIfh8FeEwknxVOR9ZdH%252BriydLx8T34GHqM8%252BaqhfTvqjb4GqyUWsF5U7%252B%252FnKq0%252B2d2Rp%252BPMyUj9swT8JPXF7cT7nLmI63J4mnGlvlUBk6e7lt7VREkT7Yo3Y%252Ft%252FOQk3B7DEJ63mzH%252BTV7kLc%252FY%252F2j1%252FKIB9XBP5wcaTL6hYETntsSm1S4uV5SvPX%252Fsp4BpkAdqFah9tJLLlbTO92esSCpj5myFVg9g2jT3Yxgpo88AyySuoilw1r2Xmt1ipm5oT0Ln%252Bevy0Hv1yq%252FxV7h8y6cL9Y4jTeU%252FDMlEIKYkMmrsnIi8xFMlWpS%252F5oE3KyVpi9jiQ7b0meQwdtlJJ6Nn1qJfu9ALD%252FD9kQqP7lKJ7379wOijs8i8r5d%252FHBPaNsk1wlQuxYKghp74Rt7MruxIVwlkqH1%252FeSf8GTmf0ZUrxKudHy88Ij%252FSq7ZNRsHqNwXkeWtwEWG49ckcGpz47StfPMxtvKKZyFT2Xmay4SzHJP73LaaMn9j6ybV7yWaEqmDZ8adUEnyrHLu%7Cclp%3A2334524%7Ctkp%3ABFBMjNqSh95f
NEW*  Apple iPhone 13 | 128GB Midnight | Unlocked Verizon AT&T T-Mobile Mint,"C $1,027.55",https://www.ebay.ca/itm/232140770642?epid=11049276145&_trkparms=ispr%3D1&hash=item360cab0d52:g:nbkAAOSwh25hwO2m&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSRAQR8FABHjfpFoyRlXhWmeLNJqcia8gG9EiSRPDW0MbLTzZZWkFGeHCugudHchuD2npeVhLOGVvzqC%252F6Fh2kPD0esCcuwKbDnD0Nmj9LRzs0741l8z0X5yXQqOvBlo4N8apy8zoLLHSWDYxUU3UblIdVw%252BGp29T4I7Q6bbFryI9bZMJVtITcDVrJXfolU9wI69WfKjostBxoU9TyZpkJ4mGoIc%252Bja7RYZKF5uycggoVRsI1qW6tyAwkZDfZp738XSA%252BNxz0T8WJZRoLeK2amL%252BfG5RfdgnFeeaklO69ObQVijagKdWOwuKAW6D89i9QiE8fqchpKBpO3Kd%252FUoW%252B6slH%252F9TC8BhjtCUA0RZmM5cpeY%252Fq%252FT6kSOdslsyAPl1FFElNhPWNraiqeL0W0WqHrkuMy9q5NizuoEnuiKo5OcHEM6GFc1qsUqEl3HrnQMYLpDHZJEqGEe2v6WSDKvHS3g6EqKTQ1VfWZKEQji%252FiNWmY8WExXQmydBgxYZC3AsrHs1JIx8xTnQt%252BeAv9GCNWmds2DDdrHLAzH1VFedZAJ3Q3m3PrSY0o%252FgIeEvNCATuGYv1PsCHYN5K2tdkjrZMaoP6DyXlgJO4KYSUvKLkFIRvHF5SRmR6iWV4O5CA%252BSqPaL%252F4bY6hElG1rM5kzc%252BgMTx1UkAhVVcrE38RQ6UPKuPEoxy0DkieMe7PlzpBc2qNp487yZyuZzcAzzfA%252B6Vb61S63ymarjo%252FLj8EV6cEh6VvVpcObs9XuxMCf9ubbCJLASUIisCbkeBJsbVdLq5pwfZzPUFb9YVBz0pzS2T6tu%252B6zpDhUZVEKVUPKv8pAgHSM1%7Cclp%3A2334524%7Ctkp%3ABFBMjNqSh95f
Apple iPhone 13 - 256GB - FACTORY UNLOCKED -  Midnight - BRAND NEW SEALED,"C $1,243.21",https://www.ebay.ca/itm/265542294228?epid=19049287637&_trkparms=ispr%3D1&hash=item3dd38ddad4:g:kMsAAOSwDvNiBEzC&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsStdebXPz4ZTXCT8FI9kPBh1%252F6x4CQ9QWIi8YqRglbNoc3nQc4LsbPHxeQuhSXbMEwp8BR1k9zM7y7ukXV7xS2Tw0Stb7JFSQAZELwgihOYn3N232uD6yaEPD3TmZ%252BnmgS0cySNKOrMqeHBgIWv9nM9ptwnsZsl9hD04eSizJrkpT%252FWe0H1JRO6Rmbod1miNgaEbi%252FUnql4HUg1RkLFsHsNG%252FuGYgsW9l4DlpztU80vIfXbpEYe6CINv1%252FlLnOL%252BWLz5V01wjGTau80RH%252B8Zm4JVnyPzjxZSGH1%252BkbugSGGEmAxQsO8hrC%252FY6qdiqieXyjLkDj8DgS2QnBgjHQ3u9G4O78iulNzTURib45dzfbm%252FBdjnS1XBZJEyTPGablgAcCux1soqFEWHLFKxfOmE3tD5B%252Bj35eWOv5xOpj25fFg36HOq98qnB9rlbaExKQG%252BwtklLmT7ssYXnwLd4D1sd%252F%252BdFgwrE71hJyW5bqiMY53U8GZiYpPO5sfpVwbARUngxojt6Hg0cn4b%252FRSgdnMe%252B87zeSp%252FLzIVubJa42HDTeq%252BxOoXSVtb4beCXKlUEDPXp0jpmsuOK1eXaUC%252FtoCT8GOBavLjnNWOP3UgG%252B9tz%252Fxnrw857JWvRfCCniMqMBfST3VXDaDtvBdFW%252FOYL%252BBfjI6aKZykwb6QavcLOz70y2akQiFLtqnL7HtIh0Mac7UJIWwZMisb9DfHvIHHG6xxsrPrFJ%252FuIcVuANcqLOaWw%252FHOf4QVeDMDO7Mxl7B99wlJkEettIj%252F0UJdtlFzX2xKn5kUiQdwCzYr%252B2QqtAwDBdu3JQ%252FKYxZ7ptHZmT35z%252FtORK%7Cclp%3A2334524%7Ctkp%3ABFBMjNqSh95f
Apple iPhone 13 - 128GB - Midnight (T-Mobile) - New Sealed Clean Imei,C $888.01,https://www.ebay.ca/itm/265531140910?epid=26049291091&hash=item3dd2e3ab2e:g:hAQAAOSw98ph-0bs
Iphone 13 Pro Max 128 GB Unlocked,C $710.00,https://www.ebay.ca/itm/393929590433?hash=item5bb80886a1:g:s9UAAOSwdExiBoKH
Apple iPhone 13 Pro 256GB Sierra Blue T-Mobile - NEW & SEALED,"C $1,351.05",https://www.ebay.ca/itm/294621205485?epid=7049287454&hash=item4498cad3ed:g:N-cAAOSwZGNhsijb
Apple iPhone 13 mini 128GB T-Mobile Locked Excellent Condition,C $748.41,https://www.ebay.ca/itm/294655666705?epid=7049287463&hash=item449ad8aa11:g:ocAAAOSw8zhhwkMo
Apple iPhone 13 mini 128GB GSM Unlocked AT&T T-Mobile Excellent Condition,C $799.15,https://www.ebay.ca/itm/304279411365?epid=3049291490&hash=item46d8775aa5:g:6TcAAOSwQ5xhyclj
Apple iPhone 13 mini 128GB Spectrum Locked Good Condition,C $659.61,https://www.ebay.ca/itm/304335652866?hash=item46dbd18802:g:vJgAAOSwWYlh8q~w
