title,price,link
Apple Iphone 8 64 gb Seulement 219$                        ,"219,00",https://www.kijiji.ca/v-cellulaire/ville-de-montreal/apple-iphone-8-64-gb-seulement-219/1604997981
Apple iphone 7 32g seulement a 149$                        ,"149,00",https://www.kijiji.ca/v-cellulaire/ville-de-montreal/apple-iphone-7-32g-seulement-a-149/1604997605
iPhone 7 Like new 149$                        ,"149,00",https://www.kijiji.ca/v-cellulaire/ville-de-montreal/iphone-7-like-new-149/1604992713
iPhone 12 11 X XR 8+ 8 7+ 7 6S+ 6 & more || 90 Days Warranty                        ,"59,97",https://www.kijiji.ca/v-cellulaire/ville-de-montreal/iphone-12-11-x-xr-8-8-7-7-6s-6-more-90-days-warranty/1505808994
IPHONE 7 ✭ ✮ Liquidation ✯ ✰ 175$ seulement                        ,"175,00",https://www.kijiji.ca/v-cellulaire/ville-de-montreal/iphone-7-liquidation-175-seulement/1604990564
iPhone 8 64gb factory unlocked mint condition for sale 230$                        ,"230,00",https://www.kijiji.ca/v-cellulaire/ville-de-montreal/iphone-8-64gb-factory-unlocked-mint-condition-for-sale-230/1605385780
iPhone 7                         ,"100,00",https://www.kijiji.ca/v-cellulaire/ville-de-montreal/iphone-7/1598982544
Iphone 7 plus 32 GB                        ,"160,00",https://www.kijiji.ca/v-cellulaire/ville-de-montreal/iphone-7-plus-32-gb/1605349913
IPhone 7 - 32 gig unlocked                        ,"120,00",https://www.kijiji.ca/v-cellulaire/ville-de-montreal/iphone-7-32-gig-unlocked/1605333309
APPLE IPHONE 4 4s 5c 5s 6 6S 7 ET+ UNLOCKED DEBLOQUE CHATR KOODO                        ,"45,00",https://www.kijiji.ca/v-cellulaire/ville-de-montreal/apple-iphone-4-4s-5c-5s-6-6s-7-et-unlocked-debloque-chatr-koodo/1605326617
Iphone 7 en excellens état a 175$                        ,"175,00",https://www.kijiji.ca/v-cellulaire/ville-de-montreal/iphone-7-en-excellens-etat-a-175/cas_18641854
iphone 7 Plus                        ,"185,00",https://www.kijiji.ca/v-cellulaire/ville-de-montreal/iphone-7-plus/1605324239
"Samsung Galaxy J7,32GB,Original, Unlocked,8Mpix.Boite!!                        ","119,00",https://www.kijiji.ca/v-cellulaire/ville-de-montreal/samsung-galaxy-j7-32gb-original-unlocked-8mpix-boite/1605319245
iPhone 8 Plus 64gb dévérouillé à vendre parfaite condition 300$                        ,"300,00",https://www.kijiji.ca/v-cellulaire/ville-de-montreal/iphone-8-plus-64gb-deverouille-a-vendre-parfaite-condition-300/1605318113
Apple IPhone XR 64G unlocked .....389$                        ,"399,00",https://www.kijiji.ca/v-cellulaire/ville-de-montreal/apple-iphone-xr-64g-unlocked-389/1605317863
